Phrase ^ Count
and the  ^ 717
said unto  ^ 557
in the  ^ 434
thus saith  ^ 383
saith the lord  ^ 370
into the  ^ 244
for the  ^ 185
that i  ^ 175
of the  ^ 174
saith the lord,  ^ 173
which the lord  ^ 170
spoke unto  ^ 168
unto moses,  ^ 156
the lord god  ^ 135
the lord thy god  ^ 135
all the  ^ 134
by the  ^ 132
the children of israel  ^ 129
for the lord  ^ 126
and the lord said  ^ 124
him, and  ^ 123
and jesus  ^ 123
the lord  ^ 122
and he  ^ 122
and his  ^ 120
the son  ^ 120
but the  ^ 117
all that  ^ 115
the lord god;  ^ 114
him. and  ^ 113
and the lord spoke  ^ 110
from the  ^ 110
i say unto you,  ^ 109
came unto  ^ 107
the children of israel,  ^ 106
unto the  ^ 105
said unto him,  ^ 105
all these  ^ 104
and all  ^ 104
and said unto  ^ 104
that the  ^ 102
that the lord  ^ 101
of the lord came  ^ 101
and all the people  ^ 101
on the  ^ 99
came to  ^ 98
for i  ^ 97
the kingdom  ^ 92
out of the  ^ 91
as the lord  ^ 87
and the children of israel  ^ 87
the lord commanded  ^ 86
saith the lord.  ^ 85
years old  ^ 85
for all  ^ 84
to the  ^ 84
the word  ^ 84
saith the lord;  ^ 84
and they  ^ 83
and in  ^ 82
this is  ^ 81
and he said unto  ^ 81
moses, saying,  ^ 80
the lord of hosts,  ^ 75
is the  ^ 74
answered and said,  ^ 74
and he said  ^ 74
then said  ^ 73
but if  ^ 72
and when  ^ 72
and said  ^ 72
son of man  ^ 72
saw that  ^ 71
with the  ^ 71
the word of the lord  ^ 71
lord jesus  ^ 70
said unto them,  ^ 70
son of man,  ^ 70
unto this  ^ 68
said to  ^ 67
before the lord  ^ 67
and not  ^ 67
not the  ^ 67
and if  ^ 65
for this  ^ 65
unto the children  ^ 65
and all that  ^ 64
i am  ^ 63
for thus  ^ 63
the land which  ^ 63
for if  ^ 62
answered and said  ^ 62
upon the  ^ 62
with all  ^ 61
the people  ^ 61
therefore thus  ^ 61
speak unto  ^ 60
before the lord,  ^ 60
the spirit  ^ 60
