Phrase ^ Count
thus saith the lord  ^ 223
saith the lord god;  ^ 114
and the lord said unto  ^ 111
and the lord spoke unto  ^ 106
thus saith the lord,  ^ 81
spoke unto moses,  ^ 81
unto moses, saying,  ^ 78
of the lord came unto  ^ 62
therefore thus saith  ^ 60
thus saith the lord;  ^ 58
the son of man  ^ 58
said unto moses,  ^ 53
for thus saith  ^ 52
saith the lord of hosts,  ^ 51
unto the children of israel,  ^ 51
verily i say unto you,  ^ 48
which the lord thy god  ^ 46
saith the lord god  ^ 44
came unto me, saying,  ^ 44
as the lord commanded  ^ 43
of our lord jesus  ^ 40
and all the  ^ 40
me, saying, son of man,  ^ 40
his son reigned in his stead.  ^ 39
unto this day.  ^ 39
saying, speak unto  ^ 39
saith the lord god.  ^ 38
saying, thus saith  ^ 36
the lord commanded moses.  ^ 36
that i am the lord.  ^ 35
in the book of the chronicles  ^ 34
the book of the chronicles of the kings  ^ 34
unto me, saying, son  ^ 34
the lord of hosts, the god  ^ 34
written in the book  ^ 33
he said unto them,  ^ 33
and said unto him,  ^ 33
lord jesus christ,  ^ 32
not written in  ^ 32
moses, saying, speak  ^ 32
are they not written  ^ 31
i say unto you, that  ^ 31
this is the  ^ 29
saith the lord of hosts;  ^ 29
and he said unto them,  ^ 29
saith the lord god,  ^ 28
the chief priests and  ^ 27
the lord thy god giveth  ^ 27
and moses said unto  ^ 27
speak unto the children  ^ 27
of hosts, the god of israel;  ^ 27
and he said  ^ 27
which i command  ^ 26
spoke unto moses  ^ 26
the lord god; behold,  ^ 25
verily, verily, i say  ^ 25
and in the  ^ 24
slept with his fathers,  ^ 24
years old when he began to reign,  ^ 24
them, thus saith the lord  ^ 24
and said unto them,  ^ 24
and jesus said  ^ 24
the lord god of israel,  ^ 23
unto them, thus saith  ^ 23
the land which the lord  ^ 23
the lord god of israel  ^ 22
the kingdom of god  ^ 22
and the word of the lord came  ^ 22
said unto him,  ^ 22
in the temple,  ^ 22
and it shall come to pass in that day,  ^ 22
jesus said unto them,  ^ 22
he , his sons, and his brethren, were twelve:  ^ 21
and the lord  ^ 21
and ye shall know that i  ^ 21
and he said,  ^ 21
and his disciples  ^ 21
for his mercy endureth forever.  ^ 20
and all that he did,  ^ 20
behold, the days come,  ^ 20
the word of the lord came  ^ 20
years old and upward,  ^ 20
from twenty years old  ^ 20
of israel, and say unto  ^ 20
verily, i say unto you,  ^ 20
answered and said unto them,  ^ 20
old when he began to reign, and he reigned  ^ 19
that i am the lord,  ^ 19
saith the lord of hosts.  ^ 19
jesus said unto him,  ^ 19
of the lord came to  ^ 18
the holy ghost  ^ 18
and he said unto  ^ 18
the kingdom of god.  ^ 18
that i am the lord  ^ 18
the children of israel, saying,  ^ 18
and they shall know that i  ^ 18
and jesus answered  ^ 18
and the priest shall make an atonement for  ^ 18
and david said unto  ^ 17
the name of the  ^ 17
lord jesus christ  ^ 17
and he did that which was evil in the sight  ^ 17
the days come, saith  ^ 17
i am the lord your god.  ^ 17
answered and said  ^ 17
then said jesus  ^ 17
the children of israel, and say  ^ 17
and jesus answering  ^ 17
in the name  ^ 16
i am the  ^ 16
saith the lord; behold,  ^ 16
which the lord commanded  ^ 16
and all the people that  ^ 16
come, saith the lord,  ^ 16
years, and begot sons  ^ 16
jesus saith unto them,  ^ 16
father which is in  ^ 16
said unto david,  ^ 15
of the chronicles of the kings of judah?  ^ 15
unto him, thus saith  ^ 15
and say, thus saith  ^ 15
in jerusalem. and his mother's name  ^ 15
nebuchadnezzar king of babylon  ^ 15
said unto them,  ^ 15
the temple, and  ^ 15
in that day, saith  ^ 15
in the kingdom  ^ 15
and the children of israel did  ^ 15
one young bullock,  ^ 15
the lord god; because  ^ 15
live, saith the lord  ^ 15
lived after he begot  ^ 15
jesus answered and said  ^ 15
the kingdom of heaven  ^ 15
bullock, one ram,  ^ 15
the word of god  ^ 14
and this is  ^ 14
with his fathers, and was buried  ^ 14
evil in the sight of the lord,  ^ 14
and the king said unto  ^ 14
of jeroboam the son of nebat,  ^ 14
of israel said unto  ^ 14
one to another,  ^ 14
the people that were with  ^ 14
the word of the  ^ 14
came to jeremiah  ^ 14
all that the lord  ^ 14
unto the door of the tabernacle  ^ 14
unto me, son of man,  ^ 14
jesus saith unto him,  ^ 14
and be unclean until the even.  ^ 14
one kid of the goats  ^ 14
after their families, by the house of their fathers,  ^ 14
old and upward, all  ^ 14
young bullock, one  ^ 14
the ark of the covenant of the lord  ^ 13
this is my  ^ 13
saith the lord, the god  ^ 13
said unto the king,  ^ 13
he did, are they not  ^ 13
of the chronicles of the kings of israel?  ^ 13
and all israel with  ^ 13
years in jerusalem. and his mother's  ^ 13
the son of josiah king  ^ 13
that came to  ^ 13
and the angel  ^ 13
the sea, and  ^ 13
into the kingdom  ^ 13
all the people  ^ 13
which the lord your god  ^ 13
said unto joshua,  ^ 13
lambs of the first year  ^ 13
that the lord commanded  ^ 13
moreover the word of the lord came  ^ 13
as i live, saith  ^ 13
jesus answered and  ^ 13
and the pharisees  ^ 13
the king of the  ^ 13
and saith unto them,  ^ 13
of fine flour mingled with oil  ^ 13
he answered and said  ^ 13
and upward, all that were able to go forth  ^ 13
lambs of the first year:  ^ 13
and david said to  ^ 12
were twenty and four thousand.  ^ 12
for if the  ^ 12
not of the  ^ 12
our lord jesus  ^ 12
for this is  ^ 12
that the word of the lord came  ^ 12
unto the land which  ^ 12
said unto the people,  ^ 12
for his mercy endureth forever:  ^ 12
and with all  ^ 12
in the midst of the  ^ 12
and they said,  ^ 12
and the disciples  ^ 12
and the other  ^ 12
and the scribes  ^ 12
and the third  ^ 12
that i the lord  ^ 12
thousand and five hundred.  ^ 12
thousand and four hundred.  ^ 12
and one of  ^ 12
one of the  ^ 12
in my name,  ^ 12
but he answered  ^ 12
by the house of their fathers, according to the number  ^ 12
of their fathers, according to the number of the names,  ^ 12
all that were able to go forth to war;  ^ 12
that were able to go forth to war; those that were numbered  ^ 12
to war; those that were numbered of them, even of the tribe  ^ 12
silver bowl of seventy  ^ 12
bowl of seventy shekels,  ^ 12
of seventy shekels, after the shekel  ^ 12
shekels, after the shekel of the sanctuary;  ^ 12
after the shekel of the sanctuary; both  ^ 12
mingled with oil for a meat offering:  ^ 12
with oil for a meat offering: one  ^ 12
of the first year, for a burnt offering:  ^ 12
of incense: one young  ^ 12
one ram, one  ^ 12
ram, one lamb  ^ 12
one lamb of the first  ^ 12
lamb of the first year,  ^ 12
year, for a burnt offering: one  ^ 12
for a burnt offering: one kid  ^ 12
kid of the goats for a sin offering:  ^ 12
of the goats for a sin offering: and for a sacrifice  ^ 12
he goats, five lambs  ^ 12
five lambs of the first  ^ 12
of the first year: this  ^ 12
year: this was the offering  ^ 12
for a sin offering: and for a sacrifice of peace offerings,  ^ 12
and for a sacrifice of peace offerings, two  ^ 12
of peace offerings, two oxen,  ^ 12
two oxen, five  ^ 12
oxen, five rams,  ^ 12
five rams, five  ^ 12
rams, five he goats,  ^ 12
five he goats, five  ^ 12
were sealed twelve thousand.  ^ 12
blessed be the lord god  ^ 11
his course were twenty and four  ^ 11
they are written in the book  ^ 11
