Phrase ^ Count
thus saith the lord god;  ^ 95
spoke unto moses, saying,  ^ 76
and the lord spoke unto moses,  ^ 75
and the lord said unto moses,  ^ 48
therefore thus saith the lord  ^ 45
of the lord came unto me, saying,  ^ 42
thus saith the lord of hosts,  ^ 37
in the book of the chronicles of the kings  ^ 34
unto me, saying, son of man,  ^ 34
for thus saith the lord  ^ 32
unto moses, saying, speak  ^ 32
not written in the book  ^ 31
moses, saying, speak unto  ^ 31
came unto me, saying, son  ^ 31
are they not written in  ^ 30
saith the lord of hosts, the god  ^ 30
written in the book of the chronicles  ^ 29
thus saith the lord god  ^ 29
as the lord commanded moses.  ^ 27
speak unto the children of israel,  ^ 27
saying, speak unto the children  ^ 26
saith the lord god; behold,  ^ 25
thus saith the lord of hosts;  ^ 25
and he said unto them,  ^ 24
and the lord spoke unto moses  ^ 24
the lord of hosts, the god of israel;  ^ 24
which the lord thy god giveth  ^ 23
verily, verily, i say unto you,  ^ 20
years old when he began to reign, and he reigned  ^ 19
from twenty years old and upward,  ^ 19
unto them, thus saith the lord  ^ 19
and the word of the lord came unto  ^ 18
of our lord jesus christ,  ^ 17
the children of israel, and say unto  ^ 17
saith the lord god of israel,  ^ 16
saying, thus saith the lord  ^ 16
behold, the days come, saith  ^ 16
the days come, saith the lord,  ^ 16
thus saith the lord; behold,  ^ 15
the book of the chronicles of the kings of judah?  ^ 15
saith the lord god; because  ^ 15
slept with his fathers, and was buried  ^ 14
them, thus saith the lord god;  ^ 14
years old and upward, all  ^ 14
young bullock, one ram,  ^ 14
one young bullock, one  ^ 14
he did, are they not written  ^ 13
the book of the chronicles of the kings of israel?  ^ 13
years in jerusalem. and his mother's name  ^ 13
unto the children of israel, saying,  ^ 13
live, saith the lord god,  ^ 13
unto the children of israel, and say  ^ 13
old and upward, all that were able to go forth  ^ 13
thus saith the lord, the god  ^ 12
of our lord jesus christ  ^ 12
jesus answered and said  ^ 12
by the house of their fathers, according to the number of the names,  ^ 12
and upward, all that were able to go forth to war;  ^ 12
all that were able to go forth to war; those that were numbered  ^ 12
that were able to go forth to war; those that were numbered of them, even of the tribe  ^ 12
silver bowl of seventy shekels,  ^ 12
bowl of seventy shekels, after the shekel  ^ 12
of seventy shekels, after the shekel of the sanctuary;  ^ 12
shekels, after the shekel of the sanctuary; both  ^ 12
of fine flour mingled with oil for a meat offering:  ^ 12
mingled with oil for a meat offering: one  ^ 12
lamb of the first year, for a burnt offering:  ^ 12
of incense: one young bullock,  ^ 12
bullock, one ram, one  ^ 12
one ram, one lamb  ^ 12
ram, one lamb of the first  ^ 12
one lamb of the first year,  ^ 12
of the first year, for a burnt offering: one  ^ 12
year, for a burnt offering: one kid  ^ 12
for a burnt offering: one kid of the goats  ^ 12
one kid of the goats for a sin offering:  ^ 12
kid of the goats for a sin offering: and for a sacrifice  ^ 12
five he goats, five lambs  ^ 12
he goats, five lambs of the first  ^ 12
five lambs of the first year:  ^ 12
lambs of the first year: this  ^ 12
of the first year: this was the offering  ^ 12
of the goats for a sin offering: and for a sacrifice of peace offerings,  ^ 12
for a sin offering: and for a sacrifice of peace offerings, two  ^ 12
and for a sacrifice of peace offerings, two oxen,  ^ 12
of peace offerings, two oxen, five  ^ 12
two oxen, five rams,  ^ 12
oxen, five rams, five  ^ 12
five rams, five he goats,  ^ 12
rams, five he goats, five  ^ 12
his course were twenty and four thousand.  ^ 11
for thus saith the lord,  ^ 11
and ye shall know that i am the lord.  ^ 11
the chief priests and the  ^ 11
from the east side unto the west  ^ 11
and jesus answered and said  ^ 11
verily i say unto you, that  ^ 11
he answered and said unto them,  ^ 11
of their fathers, according to the number of the names, from twenty  ^ 11
according to the number of the names, from twenty years  ^ 11
of the names, from twenty years old  ^ 11
by their generations, after their families, by the house of their fathers,  ^ 11
after their families, by the house of their fathers, according to the number  ^ 11
and thirty shekels , one silver bowl  ^ 11
shekels , one silver bowl of seventy  ^ 11
after the shekel of the sanctuary; both of them full  ^ 11
of the sanctuary; both of them full of fine flour  ^ 11
both of them full of fine flour mingled  ^ 11
of them full of fine flour mingled with oil  ^ 11
of ten shekels , full of incense: one  ^ 11
shekels , full of incense: one young  ^ 11
were sealed twelve thousand. of  ^ 11
twelve thousand. of the tribe  ^ 11
and in his course were twenty and four  ^ 10
that the word of the lord came unto  ^ 10
and all that he did, are they  ^ 10
that he did, are they not  ^ 10
the grace of our lord  ^ 10
thus saith the lord, behold,  ^ 10
therefore thus saith the lord;  ^ 10
and all the people shall say, amen.  ^ 10
the people shall say, amen. cursed  ^ 10
unto the door of the tabernacle of the congregation,  ^ 10
spoke unto moses and unto  ^ 10
and they shall know that i am the lord.  ^ 10
and say, thus saith the lord  ^ 10
as i live, saith the lord  ^ 10
moreover the word of the lord came unto  ^ 10
side unto the west side,  ^ 10
the lord of hosts, the god of israel,  ^ 10
that came to jeremiah  ^ 10
his clothes, and bathe himself in water, and be unclean  ^ 10
and bathe himself in water, and be unclean until  ^ 10
with oil for a meat offering: one golden  ^ 10
for a meat offering: one golden spoon  ^ 10
one golden spoon of ten  ^ 10
golden spoon of ten shekels , full  ^ 10
spoon of ten shekels , full of incense:  ^ 10
saying, thus saith the lord,  ^ 9
and this is the  ^ 9
and all the people that were with  ^ 9
grace of our lord jesus  ^ 9
lord jesus christ be with  ^ 9
and he did that which was right in the sight of the lord,  ^ 9
in the sight of the lord, according to all that  ^ 9
and he did that which was evil in the sight of the lord,  ^ 9
the word of the lord came unto  ^ 9
in the temple, and  ^ 9
the land which the lord thy god  ^ 9
unto moses and unto aaron,  ^ 9
son of man, set thy face  ^ 9
sons and daughters: and all the days  ^ 9
of jehoiakim the son of josiah king  ^ 9
of hosts, the god of israel; behold,  ^ 9
answered and said unto him,  ^ 9
and jesus said unto them,  ^ 9
and jesus said unto him,  ^ 9
himself in water, and be unclean until the even.  ^ 9
of israel, and say unto them, when  ^ 9
and jesus answering said  ^ 9
jesus answered and said unto them,  ^ 9
behold, they are written in the book  ^ 8
in the name of the  ^ 8
and it came to pass after these things,  ^ 8
and the king of israel said unto  ^ 8
unto him, thus saith the lord,  ^ 8
of jeroboam the son of nebat, who  ^ 8
be with you all. amen.  ^ 8
the son of nebat, who made  ^ 8
of nebat, who made israel  ^ 8
the kingdom of god. and  ^ 8
answered and said unto them,  ^ 8
and for four, i will not turn away  ^ 8
four, i will not turn away the punishment thereof; because  ^ 8
thus saith the lord; for  ^ 8
saith the lord; for three  ^ 8
the lord; for three transgressions  ^ 8
saith the lord. thus saith  ^ 8
in that day, saith the lord  ^ 8
which i command thee this day,  ^ 8
unto moses, saying, take  ^ 8
the lord god; behold, i am against  ^ 8
and he said unto me, son of man,  ^ 8
and say unto them, thus saith  ^ 8
years, and begot sons and daughters.  ^ 8
years, and begot sons and daughters:  ^ 8
and begot sons and daughters: and all  ^ 8
the son of josiah king of judah,  ^ 8
and the lord said unto joshua,  ^ 8
and with all thy  ^ 8
woe unto you, scribes and  ^ 8
unto you, scribes and pharisees,  ^ 8
scribes and pharisees, hypocrites!  ^ 8
father which is in heaven.  ^ 8
the kingdom of heaven is  ^ 8
and over the host of the tribe of the children  ^ 8
for a sin offering; beside the continual burnt offering,  ^ 8
was one silver charger, the weight  ^ 8
the weight whereof was a hundred and thirty shekels , one  ^ 8
whereof was a hundred and thirty shekels , one silver  ^ 8
silver charger, the weight whereof was a hundred  ^ 8
charger, the weight whereof was a hundred and thirty  ^ 8
and peace, from god  ^ 7
peace, from god our  ^ 7
the name of the lord  ^ 7
behold, i will bring evil upon  ^ 7
with his fathers, and was buried with  ^ 7
his fathers, and was buried with his fathers  ^ 7
and was buried with his fathers in the city  ^ 7
of israel, thus saith the lord  ^ 7
then came the word of the lord unto  ^ 7
and the lord jesus christ.  ^ 7
the lord commanded moses. and the lord  ^ 7
thus saith the lord concerning  ^ 7
and they said one to another,  ^ 7
enter into the kingdom  ^ 7
and all the people  ^ 7
this is the thing which the lord  ^ 7
and the two kidneys, and the fat that  ^ 7
according to all that the lord commanded  ^ 7
moses and unto aaron, saying,  ^ 7
me, saying, son of man, set  ^ 7
thus saith the lord god,  ^ 7
side four thousand and five  ^ 7
the word that came to  ^ 7
came to jeremiah from  ^ 7
jeremiah from the lord, saying,  ^ 7
therefore, behold, the days come,  ^ 7
saying, thus saith the lord;  ^ 7
the son of kareah, and all the captains  ^ 7
and the lord said unto satan,  ^ 7
the king of the jews?  ^ 7
this is the inheritance of the tribe of the children  ^ 7
with her suburbs; four cities.  ^ 7
and pharisees, hypocrites! for  ^ 7
for the son of man  ^ 7
for i say unto you, that  ^ 7
unto them, verily i say unto you,  ^ 7
and for the lambs, shall be according to their number, after the manner: and one  ^ 7
from thirty years old and upward  ^ 7
his offering was one silver charger,  ^ 7
he that hath an ear, let him hear what  ^ 7
an ear, let him hear what the  ^ 7
let him hear what the spirit  ^ 7
what the spirit saith  ^ 7
the spirit saith unto the  ^ 7
and the third part of the  ^ 7
from god our father,  ^ 6
god our father, and  ^ 6
of our lord jesus christ.  ^ 6
