Phrase ^ Count
and the lord spoke unto moses, saying,  ^ 72
spoke unto moses, saying, speak  ^ 32
unto moses, saying, speak unto  ^ 31
of the lord came unto me, saying, son  ^ 31
came unto me, saying, son of man,  ^ 31
are they not written in the book  ^ 30
not written in the book of the chronicles  ^ 29
written in the book of the chronicles of the kings  ^ 29
thus saith the lord of hosts, the god  ^ 27
saying, speak unto the children of israel,  ^ 26
therefore thus saith the lord god;  ^ 24
saith the lord of hosts, the god of israel;  ^ 24
moses, saying, speak unto the children  ^ 21
thus saith the lord god; behold,  ^ 21
in the book of the chronicles of the kings of judah?  ^ 15
behold, the days come, saith the lord,  ^ 15
thus saith the lord god; because  ^ 15
from twenty years old and upward, all  ^ 14
one young bullock, one ram,  ^ 14
he did, are they not written in  ^ 13
in the book of the chronicles of the kings of israel?  ^ 13
speak unto the children of israel, and say  ^ 13
unto the children of israel, and say unto  ^ 13
years old and upward, all that were able to go forth  ^ 13
and the word of the lord came unto me, saying,  ^ 12
unto them, thus saith the lord god;  ^ 12
old and upward, all that were able to go forth to war;  ^ 12
and upward, all that were able to go forth to war; those that were numbered  ^ 12
all that were able to go forth to war; those that were numbered of them, even of the tribe  ^ 12
silver bowl of seventy shekels, after the shekel  ^ 12
bowl of seventy shekels, after the shekel of the sanctuary;  ^ 12
of seventy shekels, after the shekel of the sanctuary; both  ^ 12
of fine flour mingled with oil for a meat offering: one  ^ 12
one lamb of the first year, for a burnt offering:  ^ 12
of incense: one young bullock, one  ^ 12
young bullock, one ram, one  ^ 12
bullock, one ram, one lamb  ^ 12
one ram, one lamb of the first  ^ 12
ram, one lamb of the first year,  ^ 12
lamb of the first year, for a burnt offering: one  ^ 12
of the first year, for a burnt offering: one kid  ^ 12
year, for a burnt offering: one kid of the goats  ^ 12
for a burnt offering: one kid of the goats for a sin offering:  ^ 12
one kid of the goats for a sin offering: and for a sacrifice  ^ 12
rams, five he goats, five lambs  ^ 12
five he goats, five lambs of the first  ^ 12
he goats, five lambs of the first year:  ^ 12
five lambs of the first year: this  ^ 12
lambs of the first year: this was the offering  ^ 12
kid of the goats for a sin offering: and for a sacrifice of peace offerings,  ^ 12
of the goats for a sin offering: and for a sacrifice of peace offerings, two  ^ 12
for a sin offering: and for a sacrifice of peace offerings, two oxen,  ^ 12
and for a sacrifice of peace offerings, two oxen, five  ^ 12
of peace offerings, two oxen, five rams,  ^ 12
two oxen, five rams, five  ^ 12
oxen, five rams, five he goats,  ^ 12
five rams, five he goats, five  ^ 12
by the house of their fathers, according to the number of the names, from twenty  ^ 11
of their fathers, according to the number of the names, from twenty years  ^ 11
according to the number of the names, from twenty years old  ^ 11
of the names, from twenty years old and upward,  ^ 11
after their families, by the house of their fathers, according to the number of the names,  ^ 11
and thirty shekels , one silver bowl of seventy  ^ 11
shekels , one silver bowl of seventy shekels,  ^ 11
shekels, after the shekel of the sanctuary; both of them full  ^ 11
after the shekel of the sanctuary; both of them full of fine flour  ^ 11
of the sanctuary; both of them full of fine flour mingled  ^ 11
both of them full of fine flour mingled with oil  ^ 11
of them full of fine flour mingled with oil for a meat offering:  ^ 11
of ten shekels , full of incense: one young  ^ 11
shekels , full of incense: one young bullock,  ^ 11
were sealed twelve thousand. of the tribe  ^ 11
and in his course were twenty and four thousand.  ^ 10
and all that he did, are they not  ^ 10
that he did, are they not written  ^ 10
thus saith the lord god of israel,  ^ 10
for thus saith the lord god;  ^ 10
and all the people shall say, amen. cursed  ^ 10
from the east side unto the west side,  ^ 10
his clothes, and bathe himself in water, and be unclean until  ^ 10
by their generations, after their families, by the house of their fathers, according to the number  ^ 10
mingled with oil for a meat offering: one golden  ^ 10
with oil for a meat offering: one golden spoon  ^ 10
for a meat offering: one golden spoon of ten  ^ 10
one golden spoon of ten shekels , full  ^ 10
golden spoon of ten shekels , full of incense:  ^ 10
spoon of ten shekels , full of incense: one  ^ 10
the grace of our lord jesus  ^ 9
the land which the lord thy god giveth  ^ 9
and the lord spoke unto moses and unto  ^ 9
moreover the word of the lord came unto me, saying,  ^ 9
and bathe himself in water, and be unclean until the even.  ^ 9
the children of israel, and say unto them, when  ^ 9
grace of our lord jesus christ  ^ 8
of our lord jesus christ be with  ^ 8
the son of nebat, who made israel  ^ 8
and for four, i will not turn away the punishment thereof; because  ^ 8
thus saith the lord; for three  ^ 8
saith the lord; for three transgressions  ^ 8
spoke unto moses, saying, take  ^ 8
spoke unto moses and unto aaron,  ^ 8
and say, thus saith the lord god;  ^ 8
saith the lord god; behold, i am against  ^ 8
as i live, saith the lord god,  ^ 8
and say unto them, thus saith the lord  ^ 8
years, and begot sons and daughters: and all  ^ 8
and begot sons and daughters: and all the days  ^ 8
the lord of hosts, the god of israel; behold,  ^ 8
speak unto the children of israel, saying,  ^ 8
woe unto you, scribes and pharisees,  ^ 8
unto you, scribes and pharisees, hypocrites!  ^ 8
charger, the weight whereof was a hundred and thirty shekels , one  ^ 8
the weight whereof was a hundred and thirty shekels , one silver  ^ 8
whereof was a hundred and thirty shekels , one silver bowl  ^ 8
silver charger, the weight whereof was a hundred and thirty  ^ 8
and peace, from god our  ^ 7
slept with his fathers, and was buried with  ^ 7
with his fathers, and was buried with his fathers  ^ 7
his fathers, and was buried with his fathers in the city  ^ 7
of jeroboam the son of nebat, who made  ^ 7
unto moses and unto aaron, saying,  ^ 7
unto me, saying, son of man, set  ^ 7
me, saying, son of man, set thy face  ^ 7
the word that came to jeremiah  ^ 7
scribes and pharisees, hypocrites! for  ^ 7
his offering was one silver charger, the weight  ^ 7
was one silver charger, the weight whereof was a hundred  ^ 7
he that hath an ear, let him hear what the  ^ 7
an ear, let him hear what the spirit  ^ 7
let him hear what the spirit saith  ^ 7
what the spirit saith unto the  ^ 7
from god our father, and  ^ 6
again the word of the lord came unto me, saying,  ^ 6
son of man, set thy face against  ^ 6
of israel, thus saith the lord god;  ^ 6
the word of the lord came again unto me, saying,  ^ 6
that the word of the lord came unto me, saying,  ^ 6
saying, thus saith the lord of hosts;  ^ 6
of jehoiakim the son of josiah king of judah,  ^ 6
came to jeremiah from the lord,  ^ 6
therefore thus saith the lord of hosts,  ^ 6
therefore, behold, the days come, saith  ^ 6
for thus saith the lord of hosts,  ^ 6
saith the lord of hosts, the god of israel,  ^ 6
jesus answered and said unto him,  ^ 6
and jesus answered and said unto them,  ^ 6
the kingdom of heaven is like unto  ^ 6
and their drink offerings for the bullocks, for the rams, and for the lambs, shall be according to their number,  ^ 6
for the bullocks, for the rams, and for the lambs, shall be according to their number, after the manner:  ^ 6
for the rams, and for the lambs, shall be according to their number, after the manner: and one  ^ 6
