RowID ^ Count ^ Phrase
1 ^ 9525 ^ and
2 ^ 5990 ^ the
3 ^ 4233 ^ for
4 ^ 4080 ^ that
5 ^ 3695 ^ unto
6 ^ 3167 ^ the lord
7 ^ 2387 ^ all
8 ^ 2370 ^ in
9 ^ 2246 ^ not
10 ^ 2242 ^ which
11 ^ 2012 ^ with
12 ^ 1912 ^ but
13 ^ 1828 ^ to
14 ^ 1762 ^ said
15 ^ 1662 ^ of israel
16 ^ 1630 ^ god
17 ^ 1623 ^ of the lord
18 ^ 1552 ^ upon
19 ^ 1531 ^ this
20 ^ 1468 ^ him
21 ^ 1440 ^ of
22 ^ 1265 ^ before
23 ^ 1262 ^ from
24 ^ 1180 ^ the son
25 ^ 1134 ^ i
26 ^ 1130 ^ saying
27 ^ 995 ^ saith
28 ^ 981 ^ of the
29 ^ 916 ^ if
30 ^ 909 ^ behold
31 ^ 881 ^ of god
32 ^ 870 ^ his
33 ^ 863 ^ as
34 ^ 850 ^ into
35 ^ 841 ^ day
36 ^ 838 ^ and all
37 ^ 837 ^ because
38 ^ 818 ^ against
39 ^ 805 ^ jesus
40 ^ 803 ^ also
41 ^ 799 ^ by
42 ^ 766 ^ the king
43 ^ 761 ^ he
44 ^ 737 ^ them
45 ^ 734 ^ now
46 ^ 723 ^ you
47 ^ 711 ^ and said
48 ^ 702 ^ neither
49 ^ 690 ^ thou
50 ^ 666 ^ what
51 ^ 662 ^ is
52 ^ 661 ^ one
53 ^ 661 ^ then
54 ^ 654 ^ me
55 ^ 650 ^ the children
56 ^ 641 ^ or
57 ^ 639 ^ came
58 ^ 624 ^ when
59 ^ 614 ^ therefore
60 ^ 609 ^ these
61 ^ 587 ^ king
62 ^ 586 ^ the people
63 ^ 585 ^ after
64 ^ 582 ^ lord
65 ^ 564 ^ man
66 ^ 563 ^ who
67 ^ 563 ^ on
68 ^ 540 ^ no
69 ^ 533 ^ israel
70 ^ 516 ^ was
71 ^ 516 ^ thus
72 ^ 516 ^ of judah
73 ^ 512 ^ and the lord
74 ^ 505 ^ men
75 ^ 481 ^ the land
76 ^ 471 ^ my
77 ^ 463 ^ moses
78 ^ 457 ^ house
79 ^ 454 ^ whom
80 ^ 452 ^ son
81 ^ 447 ^ so
82 ^ 445 ^ days
