RowID ^ StrongsSequence ^ Count
1 ^ G1 ^ 4
2 ^ G10 ^ 2
3 ^ G100 ^ 1
4 ^ G1000 ^ 1
5 ^ G1001 ^ 2
6 ^ G1002 ^ 1
7 ^ G1003 ^ 3
8 ^ G1004 ^ 1
9 ^ G1005 ^ 2
10 ^ G1006 ^ 9
11 ^ G1007 ^ 1
12 ^ G1008 ^ 1
13 ^ G1009 ^ 1
14 ^ G101 ^ 2
15 ^ G1010 ^ 2
16 ^ G1011 ^ 7
17 ^ G1011-G5124 ^ 1
18 ^ G1012 ^ 11
19 ^ G1013 ^ 2
20 ^ G1014 ^ 34
21 ^ G1015 ^ 2
22 ^ G1016 ^ 8
23 ^ G1017 ^ 2
24 ^ G1018 ^ 1
25 ^ G1019 ^ 1
26 ^ G1019-G3756 ^ 1
27 ^ G102 ^ 10
28 ^ G1020 ^ 1
29 ^ G1021 ^ 3
30 ^ G1022 ^ 1
31 ^ G1023 ^ 3
32 ^ G1024 ^ 2
33 ^ G1024-G5100 ^ 1
34 ^ G1025 ^ 8
35 ^ G1026 ^ 6
36 ^ G1026-G3361-G5205 ^ 1
37 ^ G1027 ^ 11
38 ^ G1028 ^ 2
39 ^ G1029 ^ 1
40 ^ G103 ^ 5
41 ^ G1030 ^ 7
42 ^ G1031 ^ 1
43 ^ G1032 ^ 1
44 ^ G1033 ^ 17
45 ^ G1034 ^ 1
46 ^ G1035 ^ 11
47 ^ G1036 ^ 2
48 ^ G1037 ^ 1
49 ^ G1038 ^ 3
50 ^ G1039 ^ 4
51 ^ G104 ^ 7
52 ^ G1040 ^ 2
53 ^ G1041 ^ 1
54 ^ G1042 ^ 1
55 ^ G1043 ^ 2
56 ^ G1044 ^ 1
57 ^ G1045 ^ 1
58 ^ G1046 ^ 2
59 ^ G1047 ^ 1
60 ^ G1048 ^ 1
61 ^ G1049 ^ 5
62 ^ G105 ^ 4
63 ^ G1050 ^ 5
64 ^ G1051 ^ 5
65 ^ G1052 ^ 1
66 ^ G1053 ^ 4
67 ^ G1054 ^ 2
68 ^ G1055 ^ 3
69 ^ G1056 ^ 63
70 ^ G1057 ^ 11
71 ^ G1058 ^ 3
72 ^ G1059 ^ 2
73 ^ G106 ^ 9
74 ^ G1060 ^ 29
75 ^ G1061 ^ 1
76 ^ G1062 ^ 15
77 ^ G1062-G3303 ^ 1
